Fragment_ID,Well,Volume_Remaining,Last_Updated
p1f0,C3,200.0,Never
p1f1,C4,200.0,Never
p1f2,C5,200.0,Never
p1f3,C6,200.0,Never
p1f4,C7,200.0,Never
p1f5,C8,200.0,Never
p1f6,C9,200.0,Never
p1f7,C10,200.0,Never
p2f0,D3,200.0,Never
p2f1,D4,200.0,Never
p2f2,D5,200.0,Never
p2f3,D6,200.0,Never
p2f4,D7,200.0,Never
p2f5,D8,200.0,Never
p2f6,D9,200.0,Never
p2f7,D10,200.0,Never
p3f0,E3,215.0,2024-12-19T17:03:27.552301
p3f1,E4,185.0,2024-12-19T17:03:27.552301
p3f2,E5,185.0,2024-12-19T17:03:27.552301
p3f3,E6,185.0,2024-12-19T17:03:27.552301
p3f4,E7,185.0,2024-12-19T17:03:27.552301
p3f5,E8,185.0,2024-12-19T17:03:27.552301
p3f6,E9,185.0,2024-12-19T17:03:27.552301
p3f7,E10,160.0,2024-12-19T17:03:27.552301
p4f0,F3,185.0,2024-12-19T17:03:27.552301
p4f1,F4,185.0,2024-12-19T17:03:27.552301
p4f2,F5,185.0,2024-12-19T17:03:27.552301
p4f3,F6,185.0,2024-12-19T17:03:27.552301
p4f4,F7,185.0,2024-12-19T17:03:27.552301
p4f5,F8,185.0,2024-12-19T17:03:27.552301
p4f6,F9,185.0,2024-12-19T17:03:27.552301
p4f7,F10,160.0,2024-12-19T17:03:27.552301
p5f0,G3,185.0,2024-12-19T17:03:27.552301
p5f1,G4,185.0,2024-12-19T17:03:27.552301
p5f2,G5,185.0,2024-12-19T17:03:27.552301
p5f3,G6,185.0,2024-12-19T17:03:27.552301
p5f4,G7,185.0,2024-12-19T17:03:27.552301
p5f5,G8,185.0,2024-12-19T17:03:27.552301
p5f6,G9,185.0,2024-12-19T17:03:27.552301
p5f7,G10,160.0,2024-12-19T17:03:27.552301
p6f0,H3,200.0,Never
p6f1,H4,200.0,Never
p6f2,H5,200.0,Never
p6f3,H6,200.0,Never
p6f4,H7,200.0,Never
p6f5,H8,200.0,Never
p6f6,H9,200.0,Never
p6f7,H10,300.0,2024-12-19T16:58:53.257334
